Long,Lat,name
14.368392499839272,50.02866669957706,Pegas
14.376618499558406,50.03345869928355,Obelisk pohybu
14.377737600078111,50.035388799362266,Kameraman
14.378498500073235,50.036690599352596,Chaplin
14.410475699884648,50.033782299589,Prostřený stůl
14.408447600417144,50.046808099154724,Panna Marie Svatohorská
14.408827499747414,50.04763219935328,svatý Jan Nepomucký
14.355559899817296,50.06464819966853,Chronos (Dantovo peklo)
14.352970000259322,50.06744209972441,svatý Jan Nepomucký
14.355578600046572,50.086051699489914,O Getsemanské zahradě
14.355801899666636,50.086121299320986,O zvěstování
14.356104199827742,50.085999899710686,Jinak
14.35117120025969,50.088591099617,Zamyšlená
14.350935200258132,50.08990859946052,Muž s kamenem
14.37269279978307,50.05636999941976,Pegasové
14.38884780001874,50.05872249938508,Hodiny
14.37784810004461,50.07219209928196,Rodina
14.378568000031807,50.07141019955543,Cassel
14.408308100138347,50.06382949971922,Chlapec s rybou
14.408734799898305,50.06418069930607,svatá Ája
14.400102399649692,50.06490829942828,Flora
14.4016097996459,50.0658982992568,svatý Jan Nepomucký
14.402940299803086,50.06869749925961,Casino
14.394696899716907,50.073537599390505,Brown-nosing
14.403124200213119,50.070821099302805,Perón
14.403818899761674,50.07124979927397,Anděl
14.403606500299258,50.07441889952131,svatý Jan Nepomucký
14.375771399923606,50.079929599205116,Pohled do vesmíru
14.385018200215828,50.08163239927389,Poselství
14.390063700298509,50.08637109958017,Lev
14.378089499819321,50.088066399388744,Svatý František z Assisi a vlk z Gubbia
14.37838040035946,50.09479659928626,Orfeus
14.387911000009534,50.08798209922283,Johannes Kepler a Tycho Brahe
14.390591299729481,50.08762829927154,Kalvárie
14.386924700133232,50.08961709921903,Max van der Stoel
14.398238600251014,50.07780469957075,Herkules
14.398170700191942,50.07914609968103,Lachtan
14.396316999653735,50.08180449947353,Polibek
14.395952100392062,50.08656419951963,Pieta
14.402033100180805,50.083090799414975,Socha dětí
14.40297289966475,50.0865649995428,salla terrena
14.404218400331446,50.07918159956266,„Dočasně umístěný“ tank
14.408581700024419,50.08068089949536,Vltava
14.413380200234883,50.07898229927466,Souzvuk
14.414027200140193,50.08089429970104,Znovuzrození
14.406517700284912,50.081932099536814,svatý Jan Nepomucký
14.408473099994785,50.08315699917028,Harmonie
14.40754680039295,50.0836093996658,Sedící dívka
14.40450890022298,50.08654149972019,svatý Prokop
14.405138900409852,50.08635629966521,svatý Jan Křtitel
14.406249699598014,50.08485769945896,svatý Florián
14.40718310038217,50.08502849923975,Dívka s amfórou
14.408375899586114,50.084105599429286,Miminka
14.40684980025893,50.08622549915911,Zeď Johna Lenona
14.407612099829263,50.08624389924307,vodník Kabourek
14.408572399766303,50.08342929942711,Titáni
14.41325759996155,50.08124679931518,Triga
14.413727499703521,50.08125569969528,Triga
14.408950100020782,50.08430719963268,Tučňáci
14.408728100262918,50.08486979937468,Réva
14.409366600308994,50.08665349943358,Bruncvík
14.409789800232591,50.08661359919826,svatý František Serafinský
14.4102121000443,50.086559899682875,svatá Ludmila
14.410641400426988,50.086508399597335,svatý František Borgia
14.410673100176728,50.086628699330234,"svatí Norbert, Václav a Zikmund"
14.411066600000424,50.086460099556376,svatý Kryštof
14.411101399836214,50.08657659930139,svatý Jan Křtitel
14.411488599774833,50.08641619960818,svatý František Xaverský
14.411516499650919,50.08652679957269,svatí Cyril a Metoděj
14.411914400321162,50.086369699533904,svatý Josef
14.411947600257458,50.08647679920968,svatá Anna
14.412337199596156,50.08628859937692,Pieta
14.412391100309865,50.08643689940366,svatý Kříž s Kalvárií
14.412746599600375,50.086248899421285,"svaté Barbora, Markéta a Alžběta"
14.413162499813994,50.08617899947618,svatý Ivo
14.413214600303853,50.08630059921615,Madona se svatým Bernardem
14.41279479960527,50.086370199262234,Madona se svatými Dominikem a Tomášem Akvinským
14.413901000317491,50.08630299929892,Karel IV.
14.413566899795338,50.08636679972609,Bradáč
14.397287700285105,50.08799969920955,svatý Jan Nepomucký
14.396631300408698,50.08865839954074,svatý Jan Nepomucký
14.396623600050077,50.088722999701446,svatý Josef
14.396980799851463,50.08871389955831,Toileta
14.396366600132138,50.09056739919722,Lev
14.395543299564139,50.09112309939766,Ponocný
14.39751379995392,50.09136629941642,Krakonoš
14.397874600202936,50.08685049918988,Quo vadis
14.399005200056623,50.08939119931763,svatý Filip Neri
14.401670799745267,50.089019999207636,Panna Maria
14.397931600104364,50.08948699923238,Tomáš Garrigue Masaryk
14.39834160018318,50.08967639971906,Zápasící Titáni
14.399985800122437,50.09030469925409,svatý Václav
14.399566100035164,50.09150089944364,Pyramidální trpaslík
14.400288100283543,50.09171219919221,Maska
14.400373999885959,50.089453699420915,Dobrý pastýř
14.401614999993063,50.089877599561625,Pyramida
14.400710799845525,50.090602899266045,Zlatá brána
14.401305199797656,50.09084759924072,svatý Jan Nepomucký
14.402325899759472,50.09105719938646,svatý Jan Nepomucký
14.401311000219449,50.09262179935459,Alegorie noci
14.401064000347265,50.092977299436406,Herkulova kašna
14.404824899692152,50.08723909965129,Malá tanečnice
14.404918099902881,50.088843099643086,svatý Hubert s jelenem
14.407679900175326,50.08698869929286,"svatí Jan z Mathy, Felix z Valois a Ivan"
14.407304199570685,50.08707659954307,svatý Václav
14.40735329968747,50.08717919958401,svatý Salvator se svatými Kosmou a Damiánem
14.407733899703679,50.08709109951838,svatý Vít
14.408100399763184,50.086910099373256,svatý Vojtěch
14.40854389981559,50.086847499697065,svatá Luitgarda
14.408568299855352,50.08693699966382,svatý Kajetán
14.408147500230164,50.08701329920601,svatý Filip Benicius
14.408504700031546,50.08759999935863,svatý Petr
14.407080500200314,50.089409399345065,Herkules
14.403255499771676,50.09063069945087,Herkules
14.404718300210654,50.09121229918104,Jehla
14.404574099946313,50.091903399381216,Mládí
14.40644059968073,50.08992419939838,Venuše s Amorem
14.406817300110273,50.08949699948794,Ryba
14.40683779966507,50.08991069966303,Kráčející kůň
14.406834200115702,50.08994979949224,Kůň s hadem
14.406979799955288,50.08991039938712,Dvojice zápasníků
14.407105800351966,50.089912599297264,Láokoón a synové
14.40697489964542,50.08996259953404,Adonis a Venuše
14.40710099975511,50.08996699934948,Neptun
14.40641639996529,50.09033599914999,Albrecht z Valdštejna
14.407232099887647,50.089917399677304,Bakchus
14.407225499965271,50.08997119917298,Apollon
14.407504199587233,50.090367999278385,Boj Nymfy se Satyrem
14.407911999691922,50.09042029920991,Herkules s kentaurem
14.408415299694475,50.09037009946077,Diana
14.40796540004398,50.09073689916694,Apollon
14.408453499653614,50.09069979928907,Najády
14.408538899792712,50.09074139919367,Herkules s drakem
14.405881499925973,50.0919292992574,svatá Barbora
14.408474300144006,50.090790999165705,Najády
14.408952900069503,50.086761799657886,svatý Mikuláš Tolentinský
14.408984800143562,50.086849799461945,svatý Augustin
14.40937790021695,50.08668419939271,svatý Vincenc Ferrerský a svatý Prokop
14.409418200437235,50.086777199462354,svatý Juda Tadeáš
14.409819999795817,50.08671239955561,svatý Antonín Paduánský
14.410249000141206,50.08667959927053,svatý Jan Nepomucký
14.41405669991581,50.08884279936045,Dům syna
14.408599899892081,50.09068489927568,Najády
14.408615899785616,50.09077889959209,Najády
14.409127099572778,50.09093949965701,115039612349186176288
14.409020899841554,50.09104009962586,Olympos
14.40898420006897,50.09107189929711,Démétér
14.408920499633822,50.091126999427864,Apollón
14.409089499688234,50.09097349925646,Bakchus
14.40888379986124,50.09115879961779,Polyhymnia
14.409275800396712,50.0908566995551,Merkur a Venuše
14.409594500201628,50.09089789934803,Klíč od města
14.409573800322542,50.0910059992155,Meleagros a Atalanta
14.40959839978826,50.091060099486825,Skromnost
14.409540000311654,50.09120429914781,Naděje
14.408857100134341,50.09201859954877,Dívka s holubicí
14.405200799722817,50.09350799937596,Vítězství
14.406581699859021,50.092931799284564,Český lev
14.407804599811508,50.09381009943728,Julius Zeyer
14.407577699743777,50.09421339946849,Niké 89
14.408659600129251,50.09510859925529,Komenský se loučí s vlastí
14.375625800084018,50.0986199993544,Lavice
14.375834900034397,50.098685399161155,Vstřícné kameny
14.376294799730614,50.098749499459586,El Niño
14.37677499955564,50.09873949940609,Cesta
14.377262800026273,50.09883919962717,Přelet
14.377636500082776,50.09888589965821,Malý marťan
14.37815829999029,50.09892699919753,Vzduchoplavec
14.382731199995256,50.09969859956617,Setkání u studně
14.390480600337028,50.10335800024549,lavička Ferdinanda Vaňka
14.39762990001789,50.09819719938343,Koně
14.40010419987351,50.10098189951603,Mír
14.394228899911761,50.105612499519836,Nikola Tesla
14.407696699569446,50.099709299535895,Karel Bendl
14.407049899988488,50.107356799415356,Padlým v Pražském povstání
14.413824199750609,50.10431299951343,Stojící hoch
14.41310519987527,50.106257199322016,Sedící žena
14.475226299699939,50.0093776995357,Golem
14.41570930000126,50.034446899231085,Mistr Jan hus
14.434936599594085,50.04763479980947,Prosaz z.u.- vytvarna dilna pro ozp.
14.431060600010131,50.04910779945494,Srnky
14.441606100098525,50.05202749944529,Souhvězdí pasažérky
14.450983699587688,50.04320020005493,Nový den
14.453719799958174,50.04769589952896,Brouk
14.469995600243356,50.00998890012222,Sedící dívka
14.47545020029293,50.011921600193524,sousoší kalvárie U Tří Svatých
14.48539369978358,50.013627300131915,Tomáš Garrigue Masaryk
14.491831000160115,50.02511109980009,Kvetoucí Země
14.49426879966914,50.02817329923272,Conch
14.492221099860462,50.03084340016752,Budovatel metra
14.481897799854218,50.03221299971708,Slunce
14.481484599976342,50.03246079922205,Vzduchoplavec
14.484322299805449,50.036863599381675,Oskar
14.497972499686645,50.03803429932747,London Booster
14.417445199964725,50.06391719966269,Lumír a Píseň
14.417457099947308,50.064030599304544,Přemysl a Libuše
14.416822900136506,50.06468199936764,svatý Šebestián
14.417057799701823,50.06454889943551,svatá Ludmila
14.418259399700599,50.06390959931097,Ctirad a Šárka
14.418264999798069,50.064025999315106,Slavoj a Záboj
14.418994899831056,50.06413329941701,svatý Vojtěch
14.419696500237615,50.06463789956103,svatý Jan Nepomucký
14.420916600141348,50.06401429952812,svatý Prokop
14.420638799732982,50.06444159968662,Mikuláš Karlach
14.434420000033738,50.05586029915284,Barikáda květen 1945
14.417231499741778,50.06559589928127,Václav Štulc
14.417416000226407,50.06579359969214,svatý Václav
14.415553600402975,50.069935599506785,Vorař
14.4244338997374,50.073748799607436,Ovce
14.42765100033179,50.06709459939081,Tři
14.428852300293268,50.067183299564135,Medvědí rodina
14.428565799701381,50.06895399927494,Karel IV.
14.430924799891981,50.066808399691375,Gymnastka
14.430560100056327,50.067306399411905,Z vlastního rozhodnutí
14.432207799831911,50.06682959923649,Basketbalista
14.430783999750986,50.06754729965145,Svlékání
14.430785599650516,50.068806599432676,Bohyně 390 km v hodině
14.431866999674371,50.068537699373685,R2-D2 Ventilation Shaft
14.427050899670878,50.07381759919335,Čtyři roční období
14.443520300374518,50.069865199513295,Neptun
14.43709670020435,50.07511569924793,Dívka s holubicí
14.451899300254524,50.06936279928508,svatý Jan Nepomucký
14.414336100223672,50.07592069941755,Alois Jirásek
14.417921200165786,50.07754569936718,Lehká nejistota (žena)
14.418120200357432,50.07762519955955,Hledání štěstí
14.418015899664738,50.077761899711966,Lehká nejistota (muž)
14.420977900278013,50.07791099919213,svatý Josef
14.419749899691373,50.0794650995983,svatý Jan Nepomucký
14.423046099641487,50.08041519965282,Josef Hlávek
14.41606290025331,50.081454099345265,svatý Jan Nepomucký
14.417383100327442,50.08343519969559,svatý Václav
14.414626900152502,50.085099699499146,Embryo
14.414462200333363,50.08562599942911,Neptun
14.415783299621127,50.08640279917614,Strom
14.416025400081773,50.08642379927519,Vlaštovka
14.417345600155908,50.08418689926081,Za pravdu
14.41830419958211,50.08416769947682,Viselec
14.42081290042158,50.08166109930425,Franz Kafka
14.420515300246054,50.08302409922859,Schoulená
14.424559600096783,50.08204489916719,brána Svatého Františka
14.422442700366833,50.082894099512906,Josef Jungmann
14.422951799892848,50.08312039952759,Čas unáší krásu
14.423685300373467,50.08331429938287,Kubistická lampa
14.423769900113683,50.08329799924297,brána Zvěstování
14.419897800116361,50.0850708995041,svatý Hubert s jelenem
14.423165400402782,50.08578899957873,Il Commendatore
14.425792400382011,50.08110929918531,Kůň
14.42968180013504,50.079790999433385,svatý Prokop
14.429745199634521,50.07974709971827,svatý Vojtěch
14.429721699706686,50.07978089915321,svatý Václav
14.429770100035899,50.079762699504734,svatá Anežka Česká
14.429708599574912,50.07980809917233,svatá Ludmila
14.41542049972227,50.08675079938281,Čtenáři
14.414510400338258,50.08777709947775,Tajemná lavička
14.414140999618697,50.088777499661425,Dům matky
14.417658399826054,50.08671599964878,Terezka
14.418566399847249,50.09106169938311,King-Kong
14.421325400070941,50.08737520004935,Panna Maria
14.423540199997198,50.088091799322875,Den a Noc
14.420728599820363,50.09011709944029,Franz Kafka
14.42553589992736,50.087109099262946,Černá Matka Boží
14.425426800434403,50.08722239968722,Madona s Ježíškem
14.443570599742227,50.07957409918102,Dívka s obručí
14.445848199991671,50.07970019944636,Krakonoš
14.441721600087867,50.081479399599594,Ptačí obelisk
14.451237700030923,50.080894399427514,základní kámen žižkovského vysílače
14.452635999635875,50.08651589953486,Jaroslav Hašek
14.455639799757627,50.08470449968988,Souhvězdí Velké medvědice
14.439224299767695,50.09007919969441,Bitva o Sokolovo
14.436551200044713,50.09736579929154,Práce
14.437683699835194,50.097622699152716,Humanita
14.449129399873184,50.08839169954428,památník Jana Žižky
14.451790899650879,50.09327619916483,Trialog
14.45176169991256,50.09354459915514,Křižíkova elektrická lampa
14.479016200255492,50.057779399519085,Husův kámen
14.476913299870905,50.075835899382966,Stydlivá
14.479930599874773,50.07699799922432,Kristus
14.474242300409076,50.082415499621554,Julius Fučík
14.474424800345565,50.08244759957383,Jožka Jabůrková
14.475366300340351,50.08297429926744,Jan Šverma
14.458309999718875,50.0934819995001,Revolving door
14.463842799910575,50.09627139943947,Sochy ve vodě
14.465309100185877,50.09713659938075,Pokora
14.490237500237173,50.077355399458206,Vodopád
14.490333699922642,50.07733609951006,Bouře
14.527158400348293,50.030653399682535,Sousoší kosmonautů
14.505350600270358,50.06936759999341,Strom života
14.510051399710502,50.06794519931897,Matka s dítětem
14.509344299817778,50.0681763995562,Rozvíjející se květ
14.50648879987132,50.07088129945015,Rychlost
14.614496500178964,50.08154159931584,Ježibaba Běchule
14.4156633996835,50.101383200243994,Výstřední gravitace
14.415542700245325,50.10760269918342,Milenci
14.435630699966344,50.099507499628935,Kalich
14.432805599907395,50.10159859932768,Král a královna
14.438417500353143,50.09927459960143,Vltava
14.438770399919223,50.099605699480804,Vltava
14.44547100009881,50.10759389933393,Listy
14.466524999567351,50.099015699263596,Vista Mars
14.47077000012056,50.105787399571646,cowparade
14.476020699668622,50.10531639968105,Hrabalova zeď
14.495813500410888,50.10892349942638,Průmysl
14.493359199748415,50.11143839984679,Suchý strom kořeny vzhůru
14.501894599912642,50.11120819919464,Ladislav Klíma
14.550474499636064,50.099878900277105,Model rozhledny Doubravka
14.395340800434466,50.0943205000578,Marie Terezie
14.405865599745447,50.04001039997623,Zastřešení schodiště Barrandova mostu
14.406766800418275,50.041025399793035,Zastřešení schodiště Barrandova mostu
14.617842100283191,50.08108850024525,Pomník Tomáše Garrigua Masaryka
14.498724200034925,50.079457400251435,horolezcům
14.44096109984305,50.05186760018561,Žirafa
14.490353799727131,50.02097980016811,Plastika
14.46890230023692,50.01661219990903,Pomník obětem 2. světové války
14.483540300180934,50.01290320000357,Socha Jana Nepomuckého
14.514166099631757,50.08788929976232,Pomník obětem 1. světové války
14.47701180014181,50.07504999976489,Zmrzlinové snění
14.477318699677186,50.074943000240395,Chvíle radosti
14.408231299571465,50.085469899947995,Zdeněk Wirth
14.408163999586984,50.085482900043836,Jan Werich
14.509871099748135,50.027926399794815,Flora a fauna
14.431914899641969,50.07944629972346,Tvárnice
14.421324899709326,50.08736510021433,Panna Maria
14.480905999593423,50.069350499990335,Kinetická plastika (1930)
14.391418400171135,50.00660810006563,žralok
14.498466600042356,50.08230369982825,Socha Poezie
